
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
44:48:B9:0C:E1:80, 2025-09-02 16:37:46, 2025-09-02 16:40:26,  1, 270, WPA2, CCMP, PSK, -86,       79,        0,   0.  0.  0.  0,  13, MOVISTAR_E180, 
E4:AB:89:6B:47:40, 2025-09-02 16:37:46, 2025-09-02 16:40:26,  1, 130, WPA2, CCMP, PSK, -81,       64,       35,   0.  0.  0.  0,   9, Madeleine, 
74:93:DA:64:85:8F, 2025-09-02 16:37:46, 2025-09-02 16:40:26,  1, 260, WPA2, CCMP, PSK, -81,       86,        1,   0.  0.  0.  0,   8, Eno 6ghz, 
D8:59:82:A1:60:CF, 2025-09-02 16:37:46, 2025-09-02 16:40:26,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -86,       74,        1,   0.  0.  0.  0,   0, , 
24:1A:E6:B4:CF:A0, 2025-09-02 16:37:46, 2025-09-02 16:40:26,  1, 270, WPA2, CCMP, PSK, -80,       92,        7,   0.  0.  0.  0,   9, QUIÑONES, 
D8:59:82:A1:60:CC, 2025-09-02 16:37:46, 2025-09-02 16:40:25,  1, 360, WPA2, CCMP, PSK, -85,       68,        2,   0.  0.  0.  0,   6, Motita, 
90:55:DE:A8:8C:80, 2025-09-02 16:37:46, 2025-09-02 16:40:26,  1, 130, WPA2 WPA, CCMP, PSK, -57,      134,      316,   0.  0.  0.  0,   9, fh_a88c80, 
90:55:DE:97:B1:18, 2025-09-02 16:37:46, 2025-09-02 16:40:25,  1, 130, WPA2, CCMP, PSK, -86,      110,       92,   0.  0.  0.  0,  10, THE FAMILY, 
44:22:7C:F0:80:58, 2025-09-02 16:37:46, 2025-09-02 16:40:26,  1, 360, WPA2, CCMP, PSK, -87,       40,        0,   0.  0.  0.  0,   8, Cronet_2, 
6A:B9:D3:21:66:7D, 2025-09-02 16:37:46, 2025-09-02 16:40:29,  6,  54, OPN, ,   , -76,      135,        0,   0.  0.  0.  0,  20, Care-APC0820T7CCMK2S, 
E0:00:84:E7:DF:20, 2025-09-02 16:37:47, 2025-09-02 16:40:27,  8, 130, WPA2, CCMP, PSK, -89,        8,        1,   0.  0.  0.  0,   7, Flore_2, 
74:60:FA:B4:38:F0, 2025-09-02 16:37:48, 2025-09-02 16:40:28,  5, 130, WPA2, CCMP, PSK, -71,      160,       10,   0.  0.  0.  0,  16, HUAWEI-B612-38F0, 
E8:A6:60:81:E7:E8, 2025-09-02 16:37:48, 2025-09-02 16:40:28, 11, 360, WPA2 WPA, CCMP, PSK, -83,      122,      208,   0.  0.  0.  0,   9, balti 2.4, 
BC:7F:7B:0E:E9:60, 2025-09-02 16:37:48, 2025-09-02 16:40:28, 11, 270, WPA2, CCMP, PSK, -82,      157,        0,   0.  0.  0.  0,   8, CARDENAS, 
86:EA:ED:D3:28:D4, 2025-09-02 16:37:49, 2025-09-02 16:40:28, 11,  65, WPA2, CCMP, PSK, -84,      100,        0,   0.  0.  0.  0,   0, , 
E8:A6:60:81:E7:EB, 2025-09-02 16:37:49, 2025-09-02 16:40:28, 11, 360, WPA2 WPA, CCMP TKIP, PSK, -81,      123,        9,   0.  0.  0.  0,   0, , 
6C:D8:19:63:D4:70, 2025-09-02 16:37:49, 2025-09-02 16:40:29,  6, 270, WPA2, CCMP, PSK, -64,      203,       18,   0.  0.  0.  0,  10, Casa Paula, 
6C:D8:19:A0:58:38, 2025-09-02 16:37:49, 2025-09-02 16:40:29,  6, 130, WPA2, CCMP, PSK, -84,       80,        1,   0.  0.  0.  0,  13, Sancamilo    , 
44:22:7C:F0:80:5B, 2025-09-02 16:37:50, 2025-09-02 16:40:26,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -88,       46,        0,   0.  0.  0.  0,   0, , 
E4:AB:89:EF:A6:38, 2025-09-02 16:37:53, 2025-09-02 16:40:07, 11,  -1, WPA, ,   ,  -1,        0,        5,   0.  0.  0.  0,   0, , 
68:9E:29:DB:C6:09, 2025-09-02 16:37:53, 2025-09-02 16:40:29,  6, 324, WPA2, CCMP, PSK, -74,      102,        0,   0.  0.  0.  0,  16, WiFi_Mesh-661716, 
46:48:B9:0C:E1:80, 2025-09-02 16:37:53, 2025-09-02 16:40:25,  1, 270, WPA2, CCMP, PSK, -87,       88,        0,   0.  0.  0.  0,   4, MEZA, 
F4:70:ED:60:31:68, 2025-09-02 16:37:54, 2025-09-02 16:40:14,  6, 270, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,  19, FAMILIA AGUILA MENA, 
58:AF:F1:F8:A0:70, 2025-09-02 16:38:00, 2025-09-02 16:40:29,  6, 270, WPA2, CCMP, PSK, -90,       16,        2,   0.  0.  0.  0,   9, OMAR_2.4G, 
D6:BE:DC:E1:B0:F8, 2025-09-02 16:38:18, 2025-09-02 16:40:25, 11,  65, WPA2, CCMP, PSK, -88,       22,        0,   0.  0.  0.  0,   0, , 
2C:B6:C2:2A:88:70, 2025-09-02 16:38:21, 2025-09-02 16:40:07, 11, 324, WPA2, CCMP, PSK, -89,        5,        0,   0.  0.  0.  0,  10, Familia CP, 
64:64:4A:F1:75:E6, 2025-09-02 16:38:22, 2025-09-02 16:40:25,  1, 130, WPA2, CCMP TKIP, PSK, -86,       31,        0,   0.  0.  0.  0,  15, THE FAMILY_plus, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
22:66:D8:EF:BE:65, 2025-09-02 16:37:46, 2025-09-02 16:40:04, -85,       84, 90:55:DE:97:B1:18,
BC:C7:DA:5E:78:CD, 2025-09-02 16:37:47, 2025-09-02 16:40:05, -93,       50, E0:00:84:E7:DF:20,
DC:71:44:12:A2:7E, 2025-09-02 16:37:48, 2025-09-02 16:40:28, -90,      126, E8:A6:60:81:E7:E8,
B8:BC:5B:DF:5F:52, 2025-09-02 16:37:50, 2025-09-02 16:39:53,  -1,       14, E4:AB:89:6B:47:40,
4C:57:39:CE:4B:C7, 2025-09-02 16:37:50, 2025-09-02 16:37:50, -78,        1, 24:1A:E6:B4:CF:A0,
B4:1C:30:D2:43:F6, 2025-09-02 16:37:53, 2025-09-02 16:40:07, -87,       37, E4:AB:89:EF:A6:38,
64:BB:1E:D9:4C:DC, 2025-09-02 16:37:54, 2025-09-02 16:40:03, -90,        5, F4:70:ED:60:31:68,
98:03:CF:9A:3F:E5, 2025-09-02 16:37:56, 2025-09-02 16:40:21, -57,       25, (not associated) ,Casaapula
F4:30:8B:40:BD:4E, 2025-09-02 16:37:57, 2025-09-02 16:40:07, -73,      287, 90:55:DE:A8:8C:80,
AA:15:91:C6:7B:9F, 2025-09-02 16:38:01, 2025-09-02 16:40:25, -79,       24, 90:55:DE:97:B1:18,
E4:3E:D7:1B:39:DC, 2025-09-02 16:38:03, 2025-09-02 16:39:33, -83,        3, (not associated) ,vivo Y36 5G Brayan 
10:B1:DF:7D:3B:8B, 2025-09-02 16:38:04, 2025-09-02 16:40:25,  -1,       20, E4:AB:89:6B:47:40,
86:64:0F:0A:BE:8A, 2025-09-02 16:38:06, 2025-09-02 16:38:06, -39,        1, (not associated) ,
5A:09:EB:23:EB:6B, 2025-09-02 16:38:06, 2025-09-02 16:38:06, -36,        2, (not associated) ,
4A:4F:03:07:3D:8F, 2025-09-02 16:38:06, 2025-09-02 16:38:06, -37,        2, (not associated) ,
84:EA:ED:D3:28:D4, 2025-09-02 16:38:08, 2025-09-02 16:39:56, -82,        3, E4:AB:89:EF:A6:38,
AC:F4:2C:4F:73:5A, 2025-09-02 16:38:13, 2025-09-02 16:39:50, -76,        3, 6C:D8:19:63:D4:70,
B2:DC:EE:80:A3:AE, 2025-09-02 16:38:16, 2025-09-02 16:38:16, -43,        1, (not associated) ,
FE:39:2E:FD:40:97, 2025-09-02 16:38:16, 2025-09-02 16:38:16, -40,        2, (not associated) ,
46:4A:09:A0:64:18, 2025-09-02 16:38:16, 2025-09-02 16:38:16, -41,        2, (not associated) ,
0A:4A:18:77:79:49, 2025-09-02 16:38:16, 2025-09-02 16:38:16, -43,        1, (not associated) ,
20:50:E7:29:6F:BC, 2025-09-02 16:38:20, 2025-09-02 16:39:47, -77,        5, (not associated) ,
D4:BE:DC:E1:B0:F8, 2025-09-02 16:38:22, 2025-09-02 16:38:22,  -1,        1, E8:A6:60:81:E7:E8,
9C:9E:6E:62:2F:EC, 2025-09-02 16:38:29, 2025-09-02 16:39:45, -76,       79, E8:A6:60:81:E7:E8,
A0:AF:BD:0D:AE:4E, 2025-09-02 16:38:30, 2025-09-02 16:39:24,  -1,       11, E4:AB:89:6B:47:40,
BA:B5:86:08:7C:9D, 2025-09-02 16:38:31, 2025-09-02 16:38:56, -89,        2, E0:00:84:E7:DF:20,
DC:03:98:EC:51:34, 2025-09-02 16:38:52, 2025-09-02 16:38:52, -85,        1, 6C:D8:19:A0:58:38,
98:03:CF:9A:9C:87, 2025-09-02 16:38:53, 2025-09-02 16:40:18, -83,       24, (not associated) ,Casaapula
52:83:78:C1:43:E8, 2025-09-02 16:38:56, 2025-09-02 16:38:56, -86,        2, (not associated) ,
F6:FD:7F:87:ED:A8, 2025-09-02 16:38:57, 2025-09-02 16:38:57, -89,        1, (not associated) ,
A4:7C:46:80:FD:BF, 2025-09-02 16:39:06, 2025-09-02 16:40:02, -71,       17, (not associated) ,
66:64:4A:01:75:E6, 2025-09-02 16:39:13, 2025-09-02 16:39:13, -88,        1, 90:55:DE:97:B1:18,
AE:24:DE:34:3E:7D, 2025-09-02 16:39:17, 2025-09-02 16:39:17, -43,        1, (not associated) ,
62:BA:5B:BC:DC:B8, 2025-09-02 16:39:18, 2025-09-02 16:39:19, -87,        4, (not associated) ,
C6:A4:ED:D4:3F:65, 2025-09-02 16:39:22, 2025-09-02 16:39:23, -86,        3, (not associated) ,
E2:04:C2:A0:90:B9, 2025-09-02 16:39:26, 2025-09-02 16:39:26, -77,        2, (not associated) ,
A6:20:21:6B:73:74, 2025-09-02 16:39:29, 2025-09-02 16:39:29, -75,        7, (not associated) ,
9E:4D:50:97:8F:2B, 2025-09-02 16:39:34, 2025-09-02 16:39:34, -88,        4, (not associated) ,
F0:A3:B2:05:2A:13, 2025-09-02 16:39:49, 2025-09-02 16:40:25, -64,       11, 90:55:DE:A8:8C:80,
CE:CA:06:37:55:AD, 2025-09-02 16:39:49, 2025-09-02 16:39:49,  -1,        2, E4:AB:89:6B:47:40,
36:48:38:F3:44:52, 2025-09-02 16:39:56, 2025-09-02 16:39:56, -85,        1, (not associated) ,
A6:20:21:AD:A4:A4, 2025-09-02 16:40:01, 2025-09-02 16:40:01, -90,        2, (not associated) ,

