
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
44:22:7C:F0:80:5B, 2025-09-02 16:48:46, 2025-09-02 16:50:57,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -80,       81,        0,   0.  0.  0.  0,   0, , 
E4:AB:89:6B:47:40, 2025-09-02 16:48:46, 2025-09-02 16:50:58,  1, 130, WPA2, CCMP, PSK, -90,       69,       77,   0.  0.  0.  0,   9, Madeleine, 
74:93:DA:64:85:8F, 2025-09-02 16:48:46, 2025-09-02 16:50:57,  1, 260, WPA2, CCMP, PSK, -78,       74,        2,   0.  0.  0.  0,   8, Eno 6ghz, 
D8:59:82:A1:60:CF, 2025-09-02 16:48:46, 2025-09-02 16:50:57,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -87,       53,        0,   0.  0.  0.  0,   0, , 
44:22:7C:F0:80:58, 2025-09-02 16:48:46, 2025-09-02 16:50:57,  1, 360, WPA2, CCMP, PSK, -77,       86,        0,   0.  0.  0.  0,   8, Cronet_2, 
D8:59:82:A1:60:CC, 2025-09-02 16:48:46, 2025-09-02 16:50:57,  1, 360, WPA2, CCMP, PSK, -87,       29,        0,   0.  0.  0.  0,   6, Motita, 
90:55:DE:A8:8C:80, 2025-09-02 16:48:46, 2025-09-02 16:50:57,  1, 130, WPA2 WPA, CCMP, PSK, -57,      142,      325,   0.  0.  0.  0,   9, fh_a88c80, 
90:55:DE:97:B1:18, 2025-09-02 16:48:46, 2025-09-02 16:50:57,  1, 130, WPA2, CCMP, PSK, -88,        2,        3,   0.  0.  0.  0,  10, THE FAMILY, 
6C:D8:19:63:D4:70, 2025-09-02 16:48:46, 2025-09-02 16:50:57,  6, 270, WPA2, CCMP, PSK, -79,      122,       11,   0.  0.  0.  0,  10, Casa Paula, 
E0:00:84:E7:DF:20, 2025-09-02 16:48:47, 2025-09-02 16:50:58,  8, 130, WPA2, CCMP, PSK, -89,       46,        0,   0.  0.  0.  0,   7, Flore_2, 
74:60:FA:B4:38:F0, 2025-09-02 16:48:48, 2025-09-02 16:50:56,  5, 130, WPA2, CCMP, PSK, -81,       89,        4,   0.  0.  0.  0,  16, HUAWEI-B612-38F0, 
6A:B9:D3:21:66:7D, 2025-09-02 16:48:48, 2025-09-02 16:50:56,  6,  54, OPN, ,   , -70,      115,        0,   0.  0.  0.  0,  20, Care-APC0820T7CCMK2S, 
E8:A6:60:81:E7:E8, 2025-09-02 16:48:48, 2025-09-02 16:50:56, 11, 360, WPA2 WPA, CCMP, PSK, -82,      114,      210,   0.  0.  0.  0,   9, balti 2.4, 
86:EA:ED:D3:28:D4, 2025-09-02 16:48:48, 2025-09-02 16:50:56, 11,  65, WPA2, CCMP, PSK, -85,       81,        0,   0.  0.  0.  0,   0, , 
D6:BE:DC:E1:B0:F8, 2025-09-02 16:48:48, 2025-09-02 16:50:56, 11,  65, WPA2, CCMP, PSK, -87,       82,        0,   0.  0.  0.  0,   0, , 
BC:7F:7B:0E:E9:60, 2025-09-02 16:48:48, 2025-09-02 16:50:56, 11, 270, WPA2, CCMP, PSK, -86,       93,        0,   0.  0.  0.  0,   8, CARDENAS, 
0C:01:4B:EB:28:FA, 2025-09-02 16:48:48, 2025-09-02 16:50:56, 11, 720, WPA2, CCMP, PSK, -88,       71,        0,   0.  0.  0.  0,  16, WiFi_Mesh-757554, 
E8:A6:60:81:E7:EB, 2025-09-02 16:48:49, 2025-09-02 16:50:56, 11, 360, WPA2 WPA, CCMP TKIP, PSK, -80,      118,        5,   0.  0.  0.  0,   0, , 
58:AF:F1:F8:A0:70, 2025-09-02 16:48:49, 2025-09-02 16:50:56,  6, 270, WPA2, CCMP, PSK, -86,       86,        1,   0.  0.  0.  0,   9, OMAR_2.4G, 
68:9E:29:DB:C6:09, 2025-09-02 16:48:49, 2025-09-02 16:50:56,  6, 324, WPA2, CCMP, PSK, -69,       74,        0,   0.  0.  0.  0,  16, WiFi_Mesh-661716, 
46:48:B9:0C:E1:80, 2025-09-02 16:48:49, 2025-09-02 16:50:57,  1, 270, WPA2, CCMP, PSK, -89,       39,        0,   0.  0.  0.  0,   4, MEZA, 
24:1A:E6:B4:CF:A0, 2025-09-02 16:48:53, 2025-09-02 16:50:57,  1, 270, WPA2, CCMP, PSK, -86,       28,        1,   0.  0.  0.  0,   9, QUIÑONES, 
E4:AB:89:EF:A6:38, 2025-09-02 16:48:56, 2025-09-02 16:50:56, 11,  -1, WPA, ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
B0:EC:DD:72:04:EF, 2025-09-02 16:48:56, 2025-09-02 16:50:52,  6, 360, WPA2 WPA, CCMP TKIP, PSK, -91,        7,        0,   0.  0.  0.  0,   0, , 
44:48:B9:0C:E1:80, 2025-09-02 16:48:56, 2025-09-02 16:50:20,  1, 270, WPA2, CCMP, PSK, -88,       11,        0,   0.  0.  0.  0,  13, MOVISTAR_E180, 
40:3F:8C:93:57:DE, 2025-09-02 16:49:02, 2025-09-02 16:50:37, 10, 270, WPA2, CCMP, PSK, -90,        4,        0,   0.  0.  0.  0,  12, TP-Link_57DE, 
B0:EC:DD:72:04:EC, 2025-09-02 16:50:31, 2025-09-02 16:50:34,  6, 360, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,   3, Eme, 
F4:52:46:2A:11:63, 2025-09-02 16:50:53, 2025-09-02 16:50:53,  1, 130, WPA2, CCMP, PSK, -91,        1,        0,   0.  0.  0.  0,  13, MOVISTAR_1161, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
2C:2B:F9:E6:CC:E4, 2025-09-02 16:48:46, 2025-09-02 16:50:13,  -1,       17, E4:AB:89:6B:47:40,
DC:1B:A1:FC:16:7E, 2025-09-02 16:48:48, 2025-09-02 16:50:30, -86,       22, E8:A6:60:81:E7:E8,balti 2.4
B8:BC:5B:DF:5F:52, 2025-09-02 16:48:49, 2025-09-02 16:50:57,  -1,       21, E4:AB:89:6B:47:40,
F0:A3:B2:05:2A:13, 2025-09-02 16:48:49, 2025-09-02 16:50:49, -67,       10, 90:55:DE:A8:8C:80,
AC:F4:2C:4F:73:5A, 2025-09-02 16:48:52, 2025-09-02 16:49:49, -76,        7, 6C:D8:19:63:D4:70,
A0:AF:BD:0D:AE:4E, 2025-09-02 16:48:53, 2025-09-02 16:50:46,  -1,       20, E4:AB:89:6B:47:40,
BC:C7:DA:5E:78:CD, 2025-09-02 16:48:54, 2025-09-02 16:50:58, -89,       65, E0:00:84:E7:DF:20,
DC:71:44:12:A2:7E, 2025-09-02 16:48:56, 2025-09-02 16:50:42, -86,      155, E8:A6:60:81:E7:E8,
84:EA:ED:D3:28:D4, 2025-09-02 16:48:56, 2025-09-02 16:50:56, -89,        3, E4:AB:89:EF:A6:38,
B4:1C:30:D2:43:F6, 2025-09-02 16:48:59, 2025-09-02 16:50:49, -89,       19, E4:AB:89:EF:A6:38,
F4:30:8B:40:BD:4E, 2025-09-02 16:49:00, 2025-09-02 16:50:57, -72,      300, 90:55:DE:A8:8C:80,
10:B1:DF:7D:3B:8B, 2025-09-02 16:49:00, 2025-09-02 16:50:49,  -1,       36, E4:AB:89:6B:47:40,
98:03:CF:9A:3F:E5, 2025-09-02 16:49:01, 2025-09-02 16:50:56, -65,       48, (not associated) ,Casaapula
B4:6D:C2:4D:84:5C, 2025-09-02 16:49:08, 2025-09-02 16:50:50, -90,        4, (not associated) ,fh_5dd5c0
AA:15:91:C6:7B:9F, 2025-09-02 16:49:11, 2025-09-02 16:50:35, -91,        5, 90:55:DE:97:B1:18,
D4:BE:DC:E1:B0:F8, 2025-09-02 16:49:22, 2025-09-02 16:50:34, -86,        3, E8:A6:60:81:E7:E8,
98:03:CF:9A:9C:87, 2025-09-02 16:49:27, 2025-09-02 16:50:53, -88,        7, (not associated) ,
CE:CA:06:37:55:AD, 2025-09-02 16:49:33, 2025-09-02 16:50:42, -88,       14, E4:AB:89:6B:47:40,
52:F8:33:23:B3:A9, 2025-09-02 16:49:38, 2025-09-02 16:49:38, -67,        2, (not associated) ,
D6:CD:F2:10:C6:8C, 2025-09-02 16:49:38, 2025-09-02 16:49:38, -63,        1, (not associated) ,
26:72:F6:30:D4:64, 2025-09-02 16:49:45, 2025-09-02 16:49:45, -86,        2, (not associated) ,
12:D8:E2:98:6F:91, 2025-09-02 16:49:48, 2025-09-02 16:49:48, -92,        1, (not associated) ,
B6:C1:B6:DF:3F:8B, 2025-09-02 16:49:48, 2025-09-02 16:49:48, -72,        2, (not associated) ,
86:71:77:62:8F:3A, 2025-09-02 16:49:48, 2025-09-02 16:49:48, -67,        2, (not associated) ,
BA:B5:86:08:7C:9D, 2025-09-02 16:49:52, 2025-09-02 16:50:50, -90,        4, E0:00:84:E7:DF:20,
E4:3E:D7:1B:39:DC, 2025-09-02 16:50:03, 2025-09-02 16:50:03, -90,        2, (not associated) ,vivo Y36 5G Brayan 
06:F2:F4:2B:FB:5A, 2025-09-02 16:50:04, 2025-09-02 16:50:04, -76,        1, (not associated) ,
06:71:43:4A:15:2E, 2025-09-02 16:50:05, 2025-09-02 16:50:05, -71,        2, (not associated) ,fh_a88c80_5G
6E:E9:0A:A7:7F:54, 2025-09-02 16:50:14, 2025-09-02 16:50:14, -92,        1, (not associated) ,
9C:9E:6E:62:2F:EC, 2025-09-02 16:50:30, 2025-09-02 16:50:31, -74,       48, E8:A6:60:81:E7:E8,
8E:50:82:68:48:3C, 2025-09-02 16:50:33, 2025-09-02 16:50:33, -89,        2, (not associated) ,
96:D4:78:C6:A0:A3, 2025-09-02 16:50:35, 2025-09-02 16:50:35,  -1,        1, 74:93:DA:64:85:8F,
D6:42:37:39:71:25, 2025-09-02 16:50:52, 2025-09-02 16:50:52, -63,        2, (not associated) ,
D2:7E:20:38:4D:16, 2025-09-02 16:50:52, 2025-09-02 16:50:52, -63,        2, (not associated) ,

