
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
90:55:DE:A8:8C:80, 2025-09-02 16:51:17, 2025-09-02 16:53:35,  1, 130, WPA2 WPA, CCMP, PSK, -68,      139,      597,   0.  0.  0.  0,   9, fh_a88c80, 
24:1A:E6:B4:CF:A0, 2025-09-02 16:51:17, 2025-09-02 16:53:35,  1, 270, WPA2, CCMP, PSK, -81,       75,        3,   0.  0.  0.  0,   9, QUIÑONES, 
74:93:DA:64:85:8F, 2025-09-02 16:51:17, 2025-09-02 16:53:35,  1, 260, WPA2, CCMP, PSK, -84,       99,        5,   0.  0.  0.  0,   8, Eno 6ghz, 
D8:59:82:A1:60:CF, 2025-09-02 16:51:17, 2025-09-02 16:53:35,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -87,       67,        1,   0.  0.  0.  0,   0, , 
44:22:7C:F0:80:58, 2025-09-02 16:51:17, 2025-09-02 16:53:35,  1, 360, WPA2, CCMP, PSK, -88,       72,        1,   0.  0.  0.  0,   8, Cronet_2, 
D8:59:82:A1:60:CC, 2025-09-02 16:51:17, 2025-09-02 16:53:35,  1, 360, WPA2, CCMP, PSK, -88,       68,        1,   0.  0.  0.  0,   6, Motita, 
90:55:DE:97:B1:18, 2025-09-02 16:51:17, 2025-09-02 16:53:35,  1, 130, WPA2, CCMP, PSK, -84,       53,        7,   0.  0.  0.  0,  10, THE FAMILY, 
44:22:7C:F0:80:5B, 2025-09-02 16:51:17, 2025-09-02 16:53:35,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -89,       68,        1,   0.  0.  0.  0,   0, , 
6C:D8:19:63:D4:70, 2025-09-02 16:51:17, 2025-09-02 16:53:34,  6, 270, WPA2, CCMP, PSK, -66,      161,       20,   0.  0.  0.  0,  10, Casa Paula, 
74:60:FA:B4:38:F0, 2025-09-02 16:51:19, 2025-09-02 16:53:34,  5, 130, WPA2, CCMP, PSK, -83,      105,        6,   0.  0.  0.  0,  16, HUAWEI-B612-38F0, 
E8:A6:60:81:E7:E8, 2025-09-02 16:51:19, 2025-09-02 16:53:34, 11, 360, WPA2 WPA, CCMP, PSK, -83,      113,      390,   0.  0.  0.  0,   9, balti 2.4, 
E8:A6:60:81:E7:EB, 2025-09-02 16:51:20, 2025-09-02 16:53:34, 11, 360, WPA2 WPA, CCMP TKIP, PSK, -82,      122,       22,   0.  0.  0.  0,   0, , 
86:EA:ED:D3:28:D4, 2025-09-02 16:51:20, 2025-09-02 16:53:34, 11,  65, WPA2, CCMP, PSK, -85,       82,        0,   0.  0.  0.  0,   0, , 
BC:7F:7B:0E:E9:60, 2025-09-02 16:51:20, 2025-09-02 16:53:34, 11, 270, WPA2, CCMP, PSK, -83,      116,        0,   0.  0.  0.  0,   8, CARDENAS, 
E4:AB:89:EF:A6:38, 2025-09-02 16:51:20, 2025-09-02 16:51:52, 11,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
68:9E:29:DB:C6:09, 2025-09-02 16:51:20, 2025-09-02 16:53:34,  6, 324, WPA2, CCMP, PSK, -72,      106,        0,   0.  0.  0.  0,  16, WiFi_Mesh-661716, 
6A:B9:D3:21:66:7D, 2025-09-02 16:51:20, 2025-09-02 16:53:34,  6,  54, OPN, ,   , -84,      101,        0,   0.  0.  0.  0,  20, Care-APC0820T7CCMK2S, 
E4:AB:89:6B:47:40, 2025-09-02 16:51:20, 2025-09-02 16:53:31,  1, 130, WPA2, CCMP, PSK, -89,       19,        0,   0.  0.  0.  0,   9, Madeleine, 
E0:00:84:E7:DF:20, 2025-09-02 16:51:21, 2025-09-02 16:53:32,  8, 130, WPA2, CCMP, PSK, -92,       24,        0,   0.  0.  0.  0,   7, Flore_2, 
46:48:B9:0C:E1:80, 2025-09-02 16:51:31, 2025-09-02 16:53:27,  1, 270, WPA2, CCMP, PSK, -90,        8,        0,   0.  0.  0.  0,   4, MEZA, 
44:48:B9:0C:E1:80, 2025-09-02 16:51:35, 2025-09-02 16:53:35,  1, 270, WPA2, CCMP, PSK, -92,        8,        0,   0.  0.  0.  0,  13, MOVISTAR_E180, 
44:48:B9:42:B1:B0, 2025-09-02 16:51:41, 2025-09-02 16:52:18, 11,  -1, WPA, ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
58:AF:F1:F8:A0:70, 2025-09-02 16:52:22, 2025-09-02 16:52:22,  6, 270, WPA2, CCMP, PSK, -92,        1,        0,   0.  0.  0.  0,   9, OMAR_2.4G, 
6C:D8:19:11:E6:20, 2025-09-02 16:52:25, 2025-09-02 16:52:36,  6,  -1, WPA, ,   ,  -1,        0,       79,   0.  0.  0.  0,   0, , 
F4:52:46:2A:11:63, 2025-09-02 16:52:36, 2025-09-02 16:53:27,  1, 130, WPA2, CCMP, PSK, -91,        3,        0,   0.  0.  0.  0,  13, MOVISTAR_1161, 
0C:01:4B:EB:28:FA, 2025-09-02 16:53:05, 2025-09-02 16:53:09, 11, 720, WPA2, CCMP, PSK, -90,        2,        0,   0.  0.  0.  0,  16, WiFi_Mesh-757554, 
64:64:4A:F1:75:E6, 2025-09-02 16:53:35, 2025-09-02 16:53:35,  1, 130, WPA2, CCMP TKIP, PSK, -91,        1,        0,   0.  0.  0.  0,  15, THE FAMILY_plus, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F4:30:8B:40:BD:4E, 2025-09-02 16:51:17, 2025-09-02 16:52:15, -44,      590, 90:55:DE:A8:8C:80,
84:EA:ED:D3:28:D4, 2025-09-02 16:51:20, 2025-09-02 16:51:34, -91,        2, E4:AB:89:EF:A6:38,
AA:15:91:C6:7B:9F, 2025-09-02 16:51:20, 2025-09-02 16:53:35, -82,       14, 90:55:DE:97:B1:18,
98:03:CF:9A:9C:87, 2025-09-02 16:51:22, 2025-09-02 16:53:31, -86,       28, (not associated) ,Casaapula
98:03:CF:9A:3F:E5, 2025-09-02 16:51:25, 2025-09-02 16:53:20, -70,       41, (not associated) ,Casaapula
DC:71:44:12:A2:7E, 2025-09-02 16:51:27, 2025-09-02 16:53:34,  -1,      362, E8:A6:60:81:E7:E8,
9C:9E:6E:62:2F:EC, 2025-09-02 16:51:30, 2025-09-02 16:53:30, -74,       16, E8:A6:60:81:E7:E8,
06:3E:53:8C:89:E9, 2025-09-02 16:51:31, 2025-09-02 16:51:31, -87,        4, (not associated) ,
E4:3E:D7:1B:39:DC, 2025-09-02 16:51:33, 2025-09-02 16:53:04, -87,        9, (not associated) ,vivo Y36 5G Brayan 
BC:C7:DA:5E:78:CD, 2025-09-02 16:51:40, 2025-09-02 16:53:21, -92,       26, E0:00:84:E7:DF:20,
AC:F4:2C:4F:73:5A, 2025-09-02 16:51:41, 2025-09-02 16:53:11, -82,        9, 6C:D8:19:63:D4:70,
84:C0:EF:16:5A:20, 2025-09-02 16:51:42, 2025-09-02 16:52:18, -90,        3, 44:48:B9:42:B1:B0,
B8:BC:5B:DF:5F:52, 2025-09-02 16:51:42, 2025-09-02 16:53:16,  -1,        4, E4:AB:89:6B:47:40,
C2:2B:D2:83:00:6A, 2025-09-02 16:51:42, 2025-09-02 16:51:42, -65,        1, (not associated) ,
62:74:2E:63:E0:92, 2025-09-02 16:51:42, 2025-09-02 16:51:42, -73,        2, (not associated) ,
72:13:7D:BB:84:F0, 2025-09-02 16:51:43, 2025-09-02 16:51:43, -62,        2, (not associated) ,
B4:1C:30:D2:43:F6, 2025-09-02 16:51:49, 2025-09-02 16:51:52, -88,        3, E4:AB:89:EF:A6:38,
E6:E6:FA:8C:71:DF, 2025-09-02 16:51:52, 2025-09-02 16:51:52, -60,        1, (not associated) ,
26:8B:23:26:38:58, 2025-09-02 16:51:53, 2025-09-02 16:51:53, -75,        2, (not associated) ,
F0:A3:B2:05:2A:13, 2025-09-02 16:52:16, 2025-09-02 16:53:10, -79,        4, 90:55:DE:A8:8C:80,
06:40:3A:D2:3D:A4, 2025-09-02 16:52:25, 2025-09-02 16:52:36, -90,       89, 6C:D8:19:11:E6:20,
06:71:43:4A:15:2E, 2025-09-02 16:52:44, 2025-09-02 16:53:08, -64,        7, (not associated) ,fh_a88c80_5G
7A:24:1D:92:53:1F, 2025-09-02 16:52:47, 2025-09-02 16:52:47, -58,        2, (not associated) ,
D8:E3:5E:3D:00:CC, 2025-09-02 16:52:51, 2025-09-02 16:52:51,  -1,        1, 74:93:DA:64:85:8F,
D4:BE:DC:E1:B0:F8, 2025-09-02 16:52:58, 2025-09-02 16:52:58, -89,        2, E8:A6:60:81:E7:E8,
86:7C:2C:45:EC:4F, 2025-09-02 16:53:03, 2025-09-02 16:53:03, -60,        1, (not associated) ,
06:57:2F:E5:8F:2D, 2025-09-02 16:53:03, 2025-09-02 16:53:03, -60,        2, (not associated) ,
9E:0A:E8:33:64:F0, 2025-09-02 16:53:03, 2025-09-02 16:53:03, -59,        2, (not associated) ,
FE:2B:FD:A6:C4:A2, 2025-09-02 16:53:05, 2025-09-02 16:53:05, -51,        2, (not associated) ,

