LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-09-02 16:37:46,1900-01-00 00:00:00,,44:48:B9:0C:E1:80,-85, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,,E4:AB:89:6B:47:40,-84, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,,74:93:DA:64:85:8F,-84, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,,D8:59:82:A1:60:CF,-89, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,,24:1A:E6:B4:CF:A0,-82, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,,D8:59:82:A1:60:CC,-89, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,,90:55:DE:A8:8C:80,-52, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,,90:55:DE:97:B1:18,-83, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,THE FAMILY,90:55:DE:97:B1:18,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,MOVISTAR_E180,44:48:B9:0C:E1:80,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,Madeleine,E4:AB:89:6B:47:40,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,Eno 6ghz,74:93:DA:64:85:8F,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,,D8:59:82:A1:60:CF,-88, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,QUIÑONES,24:1A:E6:B4:CF:A0,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,,44:22:7C:F0:80:58,-84, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,Motita,D8:59:82:A1:60:CC,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:37:46,1900-01-00 00:00:00,fh_a88c80,90:55:DE:A8:8C:80,-52, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
