Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;44:22:7C:F0:80:5B;;1;No;WPA2,WPA,AES-CCM,TKIP;No;360.0;0;81;0;0;0;0;0;;;Tue Sep  2 16:48:46 2025;Tue Sep  2 16:50:57 2025;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Madeleine;E4:AB:89:6B:47:40;;1;No;WPA2,AES-CCM;No;130.0;0;69;0;77;0;0;77;;;Tue Sep  2 16:48:46 2025;Tue Sep  2 16:50:58 2025;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Eno 6ghz;74:93:DA:64:85:8F;;1;No;WPA2,AES-CCM;No;260.0;0;74;0;2;0;0;2;;;Tue Sep  2 16:48:46 2025;Tue Sep  2 16:50:57 2025;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;D8:59:82:A1:60:CF;;1;No;WPA2,WPA,AES-CCM,TKIP;No;360.0;0;53;0;0;0;0;0;;;Tue Sep  2 16:48:46 2025;Tue Sep  2 16:50:57 2025;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Cronet_2;44:22:7C:F0:80:58;;1;No;WPA2,AES-CCM;No;360.0;0;86;0;0;0;0;0;;;Tue Sep  2 16:48:46 2025;Tue Sep  2 16:50:57 2025;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Motita;D8:59:82:A1:60:CC;;1;No;WPA2,AES-CCM;No;360.0;0;29;0;0;0;0;0;;;Tue Sep  2 16:48:46 2025;Tue Sep  2 16:50:57 2025;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;fh_a88c80;90:55:DE:A8:8C:80;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;142;0;325;0;0;325;;;Tue Sep  2 16:48:46 2025;Tue Sep  2 16:50:57 2025;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;THE FAMILY;90:55:DE:97:B1:18;;1;No;WPA2,AES-CCM;No;130.0;0;2;0;3;0;0;3;;;Tue Sep  2 16:48:46 2025;Tue Sep  2 16:50:57 2025;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Casa Paula;6C:D8:19:63:D4:70;;6;No;WPA2,AES-CCM;No;270.0;0;122;0;11;0;0;11;;;Tue Sep  2 16:48:46 2025;Tue Sep  2 16:50:57 2025;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Flore_2;E0:00:84:E7:DF:20;;8;No;WPA2,AES-CCM;No;130.0;0;46;0;0;0;0;0;;;Tue Sep  2 16:48:47 2025;Tue Sep  2 16:50:58 2025;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;HUAWEI-B612-38F0;74:60:FA:B4:38:F0;;5;No;WPA2,AES-CCM;No;130.0;0;89;0;4;0;0;4;;;Tue Sep  2 16:48:48 2025;Tue Sep  2 16:50:56 2025;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Care-APC0820T7CCMK2S;6A:B9:D3:21:66:7D;;6;No;OPN,None;No;54.0;0;115;0;0;0;0;0;;;Tue Sep  2 16:48:48 2025;Tue Sep  2 16:50:56 2025;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;balti 2.4;E8:A6:60:81:E7:E8;;11;No;WPA2,WPA,AES-CCM;No;360.0;0;114;0;210;0;0;210;;;Tue Sep  2 16:48:48 2025;Tue Sep  2 16:50:56 2025;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;;86:EA:ED:D3:28:D4;;11;No;WPA2,AES-CCM;No;65.0;0;81;0;0;0;0;0;;;Tue Sep  2 16:48:48 2025;Tue Sep  2 16:50:56 2025;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;;D6:BE:DC:E1:B0:F8;;11;No;WPA2,AES-CCM;No;65.0;0;82;0;0;0;0;0;;;Tue Sep  2 16:48:48 2025;Tue Sep  2 16:50:56 2025;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;CARDENAS;BC:7F:7B:0E:E9:60;;11;No;WPA2,AES-CCM;No;270.0;0;93;0;0;0;0;0;;;Tue Sep  2 16:48:48 2025;Tue Sep  2 16:50:56 2025;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;WiFi_Mesh-757554;0C:01:4B:EB:28:FA;;11;No;WPA2,AES-CCM;No;720.0;0;71;0;0;0;0;0;;;Tue Sep  2 16:48:48 2025;Tue Sep  2 16:50:56 2025;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;;E8:A6:60:81:E7:EB;;11;No;WPA2,WPA,AES-CCM,TKIP;No;360.0;0;118;0;5;0;0;5;;;Tue Sep  2 16:48:49 2025;Tue Sep  2 16:50:56 2025;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;OMAR_2.4G;58:AF:F1:F8:A0:70;;6;No;WPA2,AES-CCM;No;270.0;0;86;0;1;0;0;1;;;Tue Sep  2 16:48:49 2025;Tue Sep  2 16:50:56 2025;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;WiFi_Mesh-661716;68:9E:29:DB:C6:09;;6;No;WPA2,AES-CCM;No;324.0;0;74;0;0;0;0;0;;;Tue Sep  2 16:48:49 2025;Tue Sep  2 16:50:56 2025;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;MEZA;46:48:B9:0C:E1:80;;1;No;WPA2,AES-CCM;No;270.0;0;39;0;0;0;0;0;;;Tue Sep  2 16:48:49 2025;Tue Sep  2 16:50:57 2025;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;QUIÑONES;24:1A:E6:B4:CF:A0;;1;No;WPA2,AES-CCM;No;270.0;0;28;0;1;0;0;1;;;Tue Sep  2 16:48:53 2025;Tue Sep  2 16:50:57 2025;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;;E4:AB:89:EF:A6:38;;11;No;WPA,None;No;-1.0;0;0;0;3;0;0;3;;;Tue Sep  2 16:48:56 2025;Tue Sep  2 16:50:56 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;;B0:EC:DD:72:04:EF;;6;No;WPA2,WPA,AES-CCM,TKIP;No;360.0;0;7;0;0;0;0;0;;;Tue Sep  2 16:48:56 2025;Tue Sep  2 16:50:52 2025;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;MOVISTAR_E180;44:48:B9:0C:E1:80;;1;No;WPA2,AES-CCM;No;270.0;0;11;0;0;0;0;0;;;Tue Sep  2 16:48:56 2025;Tue Sep  2 16:50:20 2025;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;TP-Link_57DE;40:3F:8C:93:57:DE;;10;No;WPA2,AES-CCM;No;270.0;0;4;0;0;0;0;0;;;Tue Sep  2 16:49:02 2025;Tue Sep  2 16:50:37 2025;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;Eme;B0:EC:DD:72:04:EC;;6;No;WPA2,AES-CCM;No;360.0;0;1;0;0;0;0;0;;;Tue Sep  2 16:50:31 2025;Tue Sep  2 16:50:34 2025;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
