Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;MOVISTAR_E180;44:48:B9:0C:E1:80;;1;No;WPA2,AES-CCM;No;270.0;0;79;0;0;0;0;0;;;Tue Sep  2 16:37:46 2025;Tue Sep  2 16:40:26 2025;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Madeleine;E4:AB:89:6B:47:40;;1;No;WPA2,AES-CCM;No;130.0;0;64;0;35;0;0;35;;;Tue Sep  2 16:37:46 2025;Tue Sep  2 16:40:26 2025;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Eno 6ghz;74:93:DA:64:85:8F;;1;No;WPA2,AES-CCM;No;260.0;0;86;0;1;0;0;1;;;Tue Sep  2 16:37:46 2025;Tue Sep  2 16:40:26 2025;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;D8:59:82:A1:60:CF;;1;No;WPA2,WPA,AES-CCM,TKIP;No;360.0;0;74;0;1;0;0;1;;;Tue Sep  2 16:37:46 2025;Tue Sep  2 16:40:26 2025;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;QUIÑONES;24:1A:E6:B4:CF:A0;;1;No;WPA2,AES-CCM;No;270.0;0;92;0;7;0;0;7;;;Tue Sep  2 16:37:46 2025;Tue Sep  2 16:40:26 2025;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Motita;D8:59:82:A1:60:CC;;1;No;WPA2,AES-CCM;No;360.0;0;68;0;2;0;0;2;;;Tue Sep  2 16:37:46 2025;Tue Sep  2 16:40:25 2025;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;fh_a88c80;90:55:DE:A8:8C:80;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;134;0;316;0;0;316;;;Tue Sep  2 16:37:46 2025;Tue Sep  2 16:40:26 2025;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;THE FAMILY;90:55:DE:97:B1:18;;1;No;WPA2,AES-CCM;No;130.0;0;110;0;92;0;0;92;;;Tue Sep  2 16:37:46 2025;Tue Sep  2 16:40:25 2025;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Cronet_2;44:22:7C:F0:80:58;;1;No;WPA2,AES-CCM;No;360.0;0;40;0;0;0;0;0;;;Tue Sep  2 16:37:46 2025;Tue Sep  2 16:40:26 2025;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Care-APC0820T7CCMK2S;6A:B9:D3:21:66:7D;;6;No;OPN,None;No;54.0;0;135;0;0;0;0;0;;;Tue Sep  2 16:37:46 2025;Tue Sep  2 16:40:29 2025;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;Flore_2;E0:00:84:E7:DF:20;;8;No;WPA2,AES-CCM;No;130.0;0;8;0;1;0;0;1;;;Tue Sep  2 16:37:47 2025;Tue Sep  2 16:40:27 2025;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;HUAWEI-B612-38F0;74:60:FA:B4:38:F0;;5;No;WPA2,AES-CCM;No;130.0;0;160;0;10;0;0;10;;;Tue Sep  2 16:37:48 2025;Tue Sep  2 16:40:28 2025;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;balti 2.4;E8:A6:60:81:E7:E8;;11;No;WPA2,WPA,AES-CCM;No;360.0;0;122;0;208;0;0;208;;;Tue Sep  2 16:37:48 2025;Tue Sep  2 16:40:28 2025;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
