
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
44:22:7C:F0:80:5B, 2025-09-02 16:46:00, 2025-09-02 16:48:21,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -89,       25,        0,   0.  0.  0.  0,   0, , 
44:48:B9:0C:E1:80, 2025-09-02 16:46:00, 2025-09-02 16:48:21,  1, 270, WPA2, CCMP, PSK, -87,       29,        0,   0.  0.  0.  0,  13, MOVISTAR_E180, 
74:93:DA:64:85:8F, 2025-09-02 16:46:00, 2025-09-02 16:48:10,  1, 260, WPA2, CCMP, PSK, -85,        7,        0,   0.  0.  0.  0,   8, Eno 6ghz, 
24:1A:E6:B4:CF:A0, 2025-09-02 16:46:00, 2025-09-02 16:47:59,  1, 270, WPA2, CCMP, PSK, -90,       17,        1,   0.  0.  0.  0,   9, QUIÑONES, 
44:22:7C:F0:80:58, 2025-09-02 16:46:00, 2025-09-02 16:48:14,  1, 360, WPA2, CCMP, PSK, -89,       27,        0,   0.  0.  0.  0,   8, Cronet_2, 
D8:59:82:A1:60:CC, 2025-09-02 16:46:00, 2025-09-02 16:48:21,  1, 360, WPA2, CCMP, PSK, -89,       19,        2,   0.  0.  0.  0,   6, Motita, 
90:55:DE:A8:8C:80, 2025-09-02 16:46:00, 2025-09-02 16:48:21,  1, 130, WPA2 WPA, CCMP, PSK, -51,      114,      656,   0.  0.  0.  0,   9, fh_a88c80, 
46:48:B9:0C:E1:80, 2025-09-02 16:46:00, 2025-09-02 16:48:21,  1, 270, WPA2, CCMP, PSK, -88,       65,        0,   0.  0.  0.  0,   4, MEZA, 
90:55:DE:97:B1:18, 2025-09-02 16:46:00, 2025-09-02 16:48:21,  1, 130, WPA2, CCMP, PSK, -83,       51,       10,   0.  0.  0.  0,  10, THE FAMILY, 
64:64:4A:F1:75:E6, 2025-09-02 16:46:00, 2025-09-02 16:46:00,  1, 130, WPA2, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,  15, THE FAMILY_plus, 
E4:AB:89:6B:47:40, 2025-09-02 16:46:00, 2025-09-02 16:48:22,  1, 130, WPA2, CCMP, PSK, -77,      101,     1482,   0.  0.  0.  0,   9, Madeleine, 
D8:59:82:A1:60:CF, 2025-09-02 16:46:00, 2025-09-02 16:47:59,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -90,       22,        1,   0.  0.  0.  0,   0, , 
6A:B9:D3:21:66:7D, 2025-09-02 16:46:00, 2025-09-02 16:48:21,  6,  54, OPN, ,   , -55,      126,        0,   0.  0.  0.  0,  20, Care-APC0820T7CCMK2S, 
40:3F:8C:93:57:DE, 2025-09-02 16:46:02, 2025-09-02 16:48:16, 10, 270, WPA2, CCMP, PSK, -89,       60,        0,   0.  0.  0.  0,  12, TP-Link_57DE, 
74:60:FA:B4:38:F0, 2025-09-02 16:46:02, 2025-09-02 16:48:20,  5, 130, WPA2, CCMP, PSK, -86,       59,        5,   0.  0.  0.  0,  16, HUAWEI-B612-38F0, 
E8:A6:60:81:E7:E8, 2025-09-02 16:46:03, 2025-09-02 16:48:21, 11, 360, WPA2 WPA, CCMP, PSK, -82,      115,       91,   0.  0.  0.  0,   9, balti 2.4, 
2C:B6:C2:2A:88:70, 2025-09-02 16:46:03, 2025-09-02 16:48:20, 11, 324, WPA2, CCMP, PSK, -88,       77,        0,   0.  0.  0.  0,  10, Familia CP, 
44:48:B9:4E:EB:90, 2025-09-02 16:46:03, 2025-09-02 16:48:20, 11, 130, WPA2, CCMP, PSK, -86,       98,        7,   0.  0.  0.  0,   4, MEZA, 
BC:7F:7B:0E:E9:60, 2025-09-02 16:46:03, 2025-09-02 16:48:20, 11, 270, WPA2, CCMP, PSK, -90,       44,        0,   0.  0.  0.  0,   8, CARDENAS, 
E8:A6:60:81:E7:EB, 2025-09-02 16:46:03, 2025-09-02 16:48:20, 11, 360, WPA2 WPA, CCMP TKIP, PSK, -80,      124,        9,   0.  0.  0.  0,   0, , 
6C:D8:19:63:D4:70, 2025-09-02 16:46:03, 2025-09-02 16:48:21,  6, 270, WPA2, CCMP, PSK, -74,      121,       15,   0.  0.  0.  0,  10, Casa Paula, 
6C:D8:19:A0:58:38, 2025-09-02 16:46:03, 2025-09-02 16:48:21,  6, 130, WPA2, CCMP, PSK, -84,       55,        0,   0.  0.  0.  0,  13, Sancamilo    , 
F4:70:ED:60:31:68, 2025-09-02 16:46:03, 2025-09-02 16:48:21,  6, 270, WPA2, CCMP, PSK, -80,       76,        5,   0.  0.  0.  0,  19, FAMILIA AGUILA MENA, 
68:9E:29:DB:C6:09, 2025-09-02 16:46:03, 2025-09-02 16:48:03,  6, 324, WPA2, CCMP, PSK, -85,       27,        0,   0.  0.  0.  0,  16, WiFi_Mesh-661716, 
86:EA:ED:D3:28:D4, 2025-09-02 16:46:06, 2025-09-02 16:46:06, 11,  65, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,   0, , 
4C:F5:5B:E4:F6:B8, 2025-09-02 16:46:54, 2025-09-02 16:46:54,  6,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
CE:CA:06:37:55:AD, 2025-09-02 16:46:00, 2025-09-02 16:48:21, -84,     1128, E4:AB:89:6B:47:40,
3E:2A:56:DB:DA:53, 2025-09-02 16:46:01, 2025-09-02 16:46:01, -71,        2, (not associated) ,
64:BB:1E:D9:4C:DC, 2025-09-02 16:46:03, 2025-09-02 16:48:11, -83,        7, F4:70:ED:60:31:68,
DC:71:44:12:A2:7E, 2025-09-02 16:46:03, 2025-09-02 16:48:20, -89,       85, E8:A6:60:81:E7:E8,
A0:AF:BD:0D:AE:4E, 2025-09-02 16:46:04, 2025-09-02 16:48:21,  -1,      252, E4:AB:89:6B:47:40,
F4:30:8B:40:BD:4E, 2025-09-02 16:46:07, 2025-09-02 16:48:18, -81,      634, 90:55:DE:A8:8C:80,
B8:BC:5B:DF:5F:52, 2025-09-02 16:46:07, 2025-09-02 16:48:07,  -1,       51, E4:AB:89:6B:47:40,
F2:83:72:BD:7F:D5, 2025-09-02 16:46:09, 2025-09-02 16:46:09, -81,        1, (not associated) ,
98:03:CF:9A:3F:E5, 2025-09-02 16:46:12, 2025-09-02 16:48:21, -83,       38, (not associated) ,Casaapula
E2:E8:45:4F:DC:55, 2025-09-02 16:46:14, 2025-09-02 16:46:14, -77,        2, (not associated) ,
AC:F4:2C:4F:73:5A, 2025-09-02 16:46:16, 2025-09-02 16:48:12, -82,        7, 6C:D8:19:63:D4:70,
32:A6:5C:CB:DD:4F, 2025-09-02 16:46:19, 2025-09-02 16:46:19, -80,        6, (not associated) ,
98:03:CF:9A:9C:87, 2025-09-02 16:46:25, 2025-09-02 16:48:19, -89,       14, (not associated) ,Casaapula
72:49:15:33:8E:91, 2025-09-02 16:46:29, 2025-09-02 16:46:29, -84,        3, (not associated) ,
72:4E:6B:E2:FF:D4, 2025-09-02 16:46:31, 2025-09-02 16:46:31, -91,        1, (not associated) ,
D2:F3:C7:D7:F5:56, 2025-09-02 16:46:31, 2025-09-02 16:46:31, -85,        1, (not associated) ,
0A:07:FE:00:AB:CF, 2025-09-02 16:46:32, 2025-09-02 16:46:32, -81,        2, (not associated) ,
02:09:0B:7F:DC:49, 2025-09-02 16:46:34, 2025-09-02 16:46:34, -80,        7, (not associated) ,
54:F1:5F:64:3E:0D, 2025-09-02 16:46:39, 2025-09-02 16:46:39,  -1,        1, F4:70:ED:60:31:68,
64:BB:1E:C9:2E:F6, 2025-09-02 16:46:39, 2025-09-02 16:46:39,  -1,        1, F4:70:ED:60:31:68,
DE:30:F3:EC:D0:5E, 2025-09-02 16:46:44, 2025-09-02 16:46:44, -83,        3, (not associated) ,
92:05:EC:2D:D0:D7, 2025-09-02 16:46:49, 2025-09-02 16:46:49, -81,        2, (not associated) ,
FA:FF:4F:79:47:E0, 2025-09-02 16:46:50, 2025-09-02 16:46:50, -91,        1, (not associated) ,
9C:9E:6E:62:2F:EC, 2025-09-02 16:46:57, 2025-09-02 16:46:57, -89,        1, E8:A6:60:81:E7:E8,
10:B1:DF:7D:3B:8B, 2025-09-02 16:46:58, 2025-09-02 16:48:14,  -1,       80, E4:AB:89:6B:47:40,
1A:C8:85:0E:35:61, 2025-09-02 16:46:59, 2025-09-02 16:47:00, -81,        6, (not associated) ,
E4:3E:D7:1B:39:DC, 2025-09-02 16:47:03, 2025-09-02 16:47:03, -92,        1, (not associated) ,vivo Y36 5G Brayan 
66:64:4A:01:75:E6, 2025-09-02 16:47:05, 2025-09-02 16:47:05, -90,        1, 90:55:DE:97:B1:18,
CE:11:F4:F5:8E:39, 2025-09-02 16:47:14, 2025-09-02 16:47:15, -78,        4, (not associated) ,
AA:15:91:C6:7B:9F, 2025-09-02 16:47:16, 2025-09-02 16:48:21, -85,        7, 90:55:DE:97:B1:18,
86:CA:88:93:57:F0, 2025-09-02 16:47:30, 2025-09-02 16:47:30, -88,        2, (not associated) ,
72:28:D0:15:A1:AC, 2025-09-02 16:47:30, 2025-09-02 16:47:30, -87,        1, (not associated) ,
D6:C8:15:64:08:BC, 2025-09-02 16:47:30, 2025-09-02 16:47:30, -92,        1, (not associated) ,
F0:A3:B2:05:2A:13, 2025-09-02 16:48:07, 2025-09-02 16:48:07, -61,        2, 90:55:DE:A8:8C:80,
D4:BE:DC:E1:B0:F8, 2025-09-02 16:48:10, 2025-09-02 16:48:10,  -1,        1, E8:A6:60:81:E7:E8,
2C:2B:F9:E6:CC:E4, 2025-09-02 16:48:14, 2025-09-02 16:48:18,  -1,       25, E4:AB:89:6B:47:40,
EA:08:B1:67:EA:DD, 2025-09-02 16:48:21, 2025-09-02 16:48:21, -82,        2, (not associated) ,

