LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-09-02 16:48:46,1900-01-00 00:00:00,,44:22:7C:F0:80:5B,-81, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,,E4:AB:89:6B:47:40,-88, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,,74:93:DA:64:85:8F,-79, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,,D8:59:82:A1:60:CF,-85, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,,44:22:7C:F0:80:58,-80, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,,D8:59:82:A1:60:CC,-87, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,,90:55:DE:A8:8C:80,-65, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,,44:22:7C:F0:80:5B,-79, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,Madeleine,E4:AB:89:6B:47:40,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,Eno 6ghz,74:93:DA:64:85:8F,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,Cronet_2,44:22:7C:F0:80:58,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,,D8:59:82:A1:60:CF,-90, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,,90:55:DE:97:B1:18,-88, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,Madeleine,E4:AB:89:6B:47:40,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,,44:22:7C:F0:80:5B,-81, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,Madeleine,E4:AB:89:6B:47:40,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,Eno 6ghz,74:93:DA:64:85:8F,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,,D8:59:82:A1:60:CF,-86, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,,6C:D8:19:63:D4:70,-82, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,fh_a88c80,90:55:DE:A8:8C:80,-64, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,fh_a88c80,90:55:DE:A8:8C:80,-62, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:46,1900-01-00 00:00:00,fh_a88c80,90:55:DE:A8:8C:80,-62, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:47,1900-01-00 00:00:00,,E0:00:84:E7:DF:20,-90, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:48,1900-01-00 00:00:00,,74:60:FA:B4:38:F0,-84, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:48,1900-01-00 00:00:00,,6A:B9:D3:21:66:7D,-72, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:48,1900-01-00 00:00:00,HUAWEI-B612-38F0,74:60:FA:B4:38:F0,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:48,1900-01-00 00:00:00,HUAWEI-B612-38F0,74:60:FA:B4:38:F0,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:48,1900-01-00 00:00:00,HUAWEI-B612-38F0,74:60:FA:B4:38:F0,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:48:48,1900-01-00 00:00:00,HUAWEI-B612-38F0,74:60:FA:B4:38:F0,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
